"Codice Ruolo","Descrizione Ruolo","Dipartimento di riferimento","SSD","Sett Conc Gsd","Numero Docenti"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","MEDS-08/A","06/MEDS-08","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","MEDS-08/B","06/MEDS-08","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","MEDS-09/A","06/MEDS-09","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","MEDS-09/B","06/MEDS-09","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","MEDS-14/C","06/MEDS-14","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","MEDS-21/A","06/MEDS-21","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","MEDS-22/A","06/MEDS-22","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","MEDS-24/B","06/MEDS-24","1"
"PO","Professori Ordinari","Dipartimento di Medicina Traslazionale","STAT-04/A","13/STAT-04","1"
"PO","Professori Ordinari","Dipartimento di Scienze del Farmaco","BIOS-06/A","05/BIOS-06","1"
"PO","Professori Ordinari","Dipartimento di Scienze del Farmaco","BIOS-07/A","05/BIOS-07","1"
"PO","Professori Ordinari","Dipartimento di Scienze del Farmaco","BIOS-11/A","05/BIOS-11","1"
"PO","Professori Ordinari","Dipartimento di Scienze del Farmaco","CHEM-03/A","03/CHEM-03","1"
"PO","Professori Ordinari","Dipartimento di Scienze del Farmaco","CHEM-07/A","03/CHEM-07","2"
"PO","Professori Ordinari","Dipartimento di Scienze del Farmaco","CHEM-07/B","03/CHEM-07","1"
"PO","Professori Ordinari","Dipartimento di Scienze del Farmaco","CHEM-08/A","03/CHEM-08","1"
"PO","Professori Ordinari","Dipartimento di Scienze del Farmaco","ECON-06/A","13/ECON-06","1"
"PO","Professori Ordinari","Dipartimento di Scienze del Farmaco","MEDS-02/A","06/MEDS-02","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","BIOS-10/A","05/BIOS-10","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","BIOS-12/A","05/BIOS-12","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","BIOS-13/A","05/BIOS-13","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","ECON-09/B","13/ECON-09","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","MEDS-01/A","06/MEDS-01","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","MEDS-02/A","06/MEDS-02","4"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","MEDS-04/A","06/MEDS-04","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","MEDS-06/A","06/MEDS-06","2"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","MEDS-10/C","06/MEDS-10","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","MEDS-19/A","06/MEDS-19","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","MEDS-19/B","06/MEDS-19","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","MEDS-24/A","06/MEDS-24","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","MEDS-26/D","06/MEDS-26","1"
"PO","Professori Ordinari","Dipartimento di Scienze della Salute","PHYS-06/A","02/PHYS-06","1"
"PO","Professori Ordinari","Dipartimento di Scienze e Innovazione Tecnologica","BIOS-01/A","05/BIOS-01","1"
"PO","Professori Ordinari","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-01/A","03/CHEM-01","1"
"PO","Professori Ordinari","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-02/A","03/CHEM-02","2"
"PO","Professori Ordinari","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-03/A","03/CHEM-03","2"
"PO","Professori Ordinari","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-04/A","03/CHEM-04","1"
"PO","Professori Ordinari","Dipartimento di Scienze e Innovazione Tecnologica","CHEM-05/A","03/CHEM-05","1"
"PO","Professori Ordinari","Dipartimento di Scienze e Innovazione Tecnologica","INFO-01/A","01/INFO-01","5"
"PO","Professori Ordinari","Dipartimento di Scienze e Innovazione Tecnologica","MATH-03/A","01/MATH-03","1"
"PO","Professori Ordinari","Dipartimento di Scienze e Innovazione Tecnologica","PHYS-01/A","02/PHYS-01","1"
"PO","Professori Ordinari","Dipartimento di Scienze e Innovazione Tecnologica","PHYS-02/A","02/PHYS-02","2"
"PO","Professori Ordinari","Dipartimento di Studi per l'Economia e l'Impresa","ECON-02/A","13/ECON-02","1"
"PO","Professori Ordinari","Dipartimento di Studi per l'Economia e l'Impresa","ECON-03/A","13/ECON-03","1"
"PO","Professori Ordinari","Dipartimento di Studi per l'Economia e l'Impresa","ECON-06/A","13/ECON-06","3"
"PO","Professori Ordinari","Dipartimento di Studi per l'Economia e l'Impresa","ECON-07/A","13/ECON-07","1"
